ORDER_Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ART,date,mj,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5
39,CV0852-004,20220806,MS,0,0,0,0,0,0,5,7,10,15,70,214,552,273,822,814,786,1036,1059,519,782,295,457,129,119,0
40,DR5953-810,20220806,MS,0,0,0,0,0,0,0,0,0,0,0,0,2394,126,4032,168,4368,0,3486,0,2436,0,2058,0,0,0
41,DJ5963-780,20220806,MS,0,0,0,0,0,0,0,0,0,0,6,12,30,42,48,60,60,60,54,42,30,6,12,0,0,0
42,DJ5963-001,20220806,MS,0,0,0,0,0,0,0,0,0,0,0,60,234,84,342,192,396,150,366,96,252,12,144,0,24,0
43,DR5952-810,20220806,MS,0,0,0,0,0,0,0,0,0,0,0,0,48,42,114,42,180,108,0,0,60,0,0,0,0,0
44,DJ5961-001,20220806,MS,0,0,0,0,0,0,0,0,0,0,0,0,114,54,120,36,132,30,90,78,120,36,78,18,18,0
45,CV0852-004,20220813,MS,0,0,0,0,0,0,0,0,0,0,18,36,114,60,252,252,306,366,354,222,306,132,162,30,66,0
46,DA5640-004,20220813,MS,0,0,0,0,0,0,0,0,0,0,18,18,84,36,216,120,246,168,270,90,168,48,84,6,24,0
47,DJ5963-001,20220813,MS,0,0,0,0,0,0,0,0,0,6,0,0,360,132,342,108,348,108,390,108,462,234,252,72,246,0
48,DJ5961-001,20220813,MS,0,0,0,0,0,0,0,6,18,24,18,48,78,78,138,126,102,114,96,66,54,36,30,12,18,0
49,DR5952-810,20220813,MS,0,0,0,0,0,0,78,0,126,90,198,132,144,12,186,60,180,6,270,78,156,0,156,0,0,0
50,DA5640-001,20220813,MS,0,0,0,0,0,0,0,0,0,0,0,27,66,24,36,72,39,90,30,57,9,12,69,21,0,0
51,DR5953-810,20220813,MS,0,0,0,0,0,0,6,6,6,12,12,24,114,216,336,366,498,624,408,318,258,48,90,18,30,0
52,CV0852-004,20220820,MS,0,0,0,0,0,0,0,0,12,12,54,12,72,36,480,624,348,588,360,102,312,162,42,90,0,0
53,DA5640-004,20220820,MS,0,0,0,0,0,0,0,0,12,12,48,96,372,156,546,492,390,528,480,180,324,72,198,18,24,0
54,DJ5963-001,20220820,MS,0,0,0,0,0,0,0,0,0,0,0,18,828,66,1014,114,1122,156,1128,72,870,48,558,66,150,0
55,DJ5961-001,20220820,MS,0,0,0,0,0,0,0,6,12,12,12,12,444,60,516,24,540,42,606,72,522,18,366,60,84,0
56,DR5952-810,20220820,MS,0,0,0,0,0,0,6,6,6,6,6,78,270,192,444,402,510,576,564,168,336,72,216,18,36,0
57,DR5953-810,20220820,MS,0,0,0,0,0,0,0,0,0,0,0,0,42,18,114,108,210,234,204,66,102,18,66,0,12,0
58,DR5952-810,20220827,MS,0,0,0,0,0,0,18,18,18,36,36,936,1710,708,2130,1998,1788,2766,2622,924,1854,504,1332,180,144,0
59,CV0852-004,20220827,MS,0,0,0,0,0,0,0,0,0,0,0,12,30,30,48,48,36,36,30,12,12,6,6,0,0,0
60,DA5640-004,20220827,MS,0,0,0,0,0,0,0,0,0,0,24,90,408,168,570,510,444,624,564,270,438,84,258,6,42,0
61,DJ5963-001,20220827,MS,0,0,0,0,0,0,0,0,0,0,0,6,96,18,108,30,84,18,126,0,108,0,60,0,0,0
62,DR5953-810,20220827,MS,0,0,0,0,0,0,0,0,0,0,0,0,54,0,54,0,42,0,42,0,30,0,18,0,0,0
63,CV0852-004,20220903,MS,0,0,0,0,0,0,0,0,0,0,36,30,246,132,474,510,450,612,582,282,456,186,234,84,18,0
64,DA5640-004,20220903,MS,0,0,0,0,0,0,0,0,0,0,36,84,324,132,420,390,294,456,390,162,294,60,180,18,24,0
65,DJ5963-001,20220903,MS,0,0,0,0,0,0,0,0,0,0,0,0,521,371,551,780,736,916,741,455,498,20,199,0,20,0
66,DJ5961-001,20220903,MS,0,0,0,0,0,0,0,0,0,0,6,6,42,54,84,90,90,84,72,66,36,6,18,0,6,0
67,DR5952-810,20220903,MS,0,0,0,0,0,0,0,0,0,0,0,0,30,0,48,0,60,0,54,0,42,0,18,0,6,0
68,DJ5961-780,20220903,MS,0,0,0,0,0,0,0,0,0,0,0,0,266,266,266,485,543,543,384,326,245,21,102,0,21,0
69,DR5953-810,20220903,MS,0,0,0,0,0,0,6,0,18,12,42,156,948,528,1680,1332,1464,1716,2154,768,1530,408,924,72,120,0
70,CV0852-004,20220910,MS,0,0,0,0,0,0,0,0,0,0,0,0,6,18,60,42,60,42,54,12,24,6,6,0,6,0
71,DA5640-004,20221001,MS,0,0,0,0,0,0,0,0,0,0,0,12,24,18,42,42,30,30,18,6,6,6,6,0,0,0
72,DA5640-004,20221015,MS,0,0,0,0,0,0,0,0,0,0,0,0,12,24,84,66,114,90,114,48,72,30,42,0,24,0
73,DJ5961-001,20221015,MS,0,0,0,0,0,0,0,0,0,0,0,0,134,134,134,0,0,0,158,158,158,24,24,0,24,0
74,CV0852-004,20221022,MS,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,12,18,18,12,12,6,6,6,0,0,0
75,DA5640-004,20221022,MS,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,12,18,18,12,12,6,6,6,0,0,0
